TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CSRN5;16,20;11,53;7,31;1,90;0,56;22,69;17,01;12,81;5,50;8,52;3,14;1,09;0,94;5,02;-0,74;1,90;26,01;7,69;12,44;0,30;0,70;0,60;9,71;12,94;8.598,95;8,53;2,22;0,30;2.662.354.981,70
CSRN6;15,30;12,21;6,90;1,79;0,53;22,69;17,01;12,81;5,19;8,52;3,14;1,09;0,88;4,74;-0,69;1,90;26,01;7,69;12,44;0,30;0,70;0,60;9,71;12,94;21.563,67;8,53;2,22;0,28;2.662.354.981,70
CTCA3;0,00;;0,00;0,00;0,00;65,58;28,66;19,87;0,00;-1,35;-1,35;-0,20;0,00;0,00;0,00;2,86;10,41;7,84;7,86;0,75;0,25;0,39;26,66;30,12;;1,86;0,19;0,00;0,00
CTKA3;30,58;;2,36;-0,99;0,37;40,29;22,07;21,18;2,26;7,91;5,81;;0,50;1,46;-0,92;1,75;-42,05;15,83;17,69;-0,38;1,38;0,75;7,67;;37.315,11;-30,85;12,97;0,00;176.153.056,11
CTKA4;26,49;;2,04;-0,86;0,32;40,29;22,07;21,18;1,96;7,91;5,81;;0,43;1,26;-0,80;1,75;-42,05;15,83;17,69;-0,38;1,38;0,75;7,67;;164.176,42;-30,85;12,97;0,00;176.153.056,11
CTNM3;11,60;;-1,70;0,24;0,08;29,33;2,13;-10,60;8,46;38,34;31,93;0,90;0,18;2,03;-0,14;1,12;-14,06;-4,92;-1,25;0,35;0,65;0,46;-5,17;;10.467,58;48,66;-6,84;-0,01;269.423.304,22
CTNM4;6,46;;-0,94;0,13;0,05;29,33;2,13;-10,60;4,71;38,34;31,93;0,90;0,10;1,13;-0,08;1,12;-14,06;-4,92;-1,25;0,35;0,65;0,46;-5,17;;256.838,38;48,66;-6,84;0,00;269.423.304,22
CTSA3;2,59;1,18;-76,77;1,02;0,44;15,55;2,86;-0,79;21,30;39,79;18,49;0,88;0,61;83,03;-0,75;1,01;-1,33;-0,58;1,39;0,44;0,56;0,73;6,86;;138.073,23;2,55;-0,03;0,57;288.264.746,70
CTSA4;2,07;1,47;-61,36;0,81;0,35;15,55;2,86;-0,79;17,02;39,79;18,49;0,88;0,49;66,36;-0,60;1,01;-1,33;-0,58;1,39;0,44;0,56;0,73;6,86;;64.489,35;2,55;-0,03;0,45;288.264.746,70
CTSA8;0,00;;0,00;0,00;0,00;15,55;2,86;-0,79;0,00;39,79;18,49;0,88;0,00;0,00;0,00;1,01;-1,33;-0,58;1,39;0,44;0,56;0,73;6,86;;;2,55;-0,03;0,00;288.264.746,70
CURY3;10,25;3,84;18.603,83;4.657,19;1.818,99;37,42;19,66;14,05;13.295,23;13.294,55;-0,69;-0,24;2.613,58;3.986,43;-10.238,57;2,25;25,03;9,78;21,63;0,39;0,61;0,70;;;11.492.111,77;0,00;0,00;-186,20;2.991.719.652,00
